NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
42382,FCCA 004,Introduccion a las Matematicas,OO2,L,1100-1159,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA5/106
42382,FCCA 004,Introduccion a las Matematicas,OO2,A,1000-1159,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA5/106
42382,FCCA 004,Introduccion a las Matematicas,OO2,J,1000-1159,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA8/306
42390,FCCA 004,Introduccion a las Matematicas,OO3,L,1100-1159,ESPINOZA - HERNANDEZ NELVA BETZABEL,12EM11/101
42390,FCCA 004,Introduccion a las Matematicas,OO3,A,1000-1159,ESPINOZA - HERNANDEZ NELVA BETZABEL,12EM11/101
42390,FCCA 004,Introduccion a las Matematicas,OO3,J,1000-1159,ESPINOZA - HERNANDEZ NELVA BETZABEL,12EM11/101
43201,FCCA 010,Diseno de Base de Datos,OO1,L,1000-1059,BARRIOS - GONZALEZ ERICK,12EMA4/301
43201,FCCA 010,Diseno de Base de Datos,OO1,M,1000-1159,BARRIOS - GONZALEZ ERICK,12EMA4/301
43201,FCCA 010,Diseno de Base de Datos,OO1,V,1000-1159,BARRIOS - GONZALEZ ERICK,12EMA8/305
43468,FCCA 010,Diseno de Base de Datos,OO3,L,1100-1159,BARRIOS - GONZALEZ ERICK,12EMA8/206
43468,FCCA 010,Diseno de Base de Datos,OO3,A,1000-1159,BARRIOS - GONZALEZ ERICK,12EMA8/206
43468,FCCA 010,Diseno de Base de Datos,OO3,J,1000-1159,BARRIOS - GONZALEZ ERICK,12EMA8/205
43470,FCCA 010,Diseno de Base de Datos,OO4,L,1100-1159,ACOSTA - RUIZ SAMANTHA,12EMA5/108
43470,FCCA 010,Diseno de Base de Datos,OO4,A,1000-1159,ACOSTA - RUIZ SAMANTHA,12EMA5/108
43470,FCCA 010,Diseno de Base de Datos,OO4,J,1000-1159,ACOSTA - RUIZ SAMANTHA,12EMA5/108
43696,FCCA 010,Diseno de Base de Datos,OO5,L,1000-1059,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EM11/104
43696,FCCA 010,Diseno de Base de Datos,OO5,M,1000-1159,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EM11/104
43696,FCCA 010,Diseno de Base de Datos,OO5,V,1000-1159,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EM11/104
43699,FCCA 011,Ingenieria de Software I,OO1,L,1300-1359,OSUNA - GONZALEZ REYNOLD,12EMA5/106
