NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
48444,CCOS 005,Ensamblador,OO1,L,1000-1059,RODRIGUEZ - PEDROZA BERENICE,1CCO4/303
48444,CCOS 005,Ensamblador,OO1,A,0900-1059,RODRIGUEZ - PEDROZA BERENICE,1CCO3/104
48444,CCOS 005,Ensamblador,OO1,J,0900-1059,RODRIGUEZ - PEDROZA BERENICE,1CCO4/303
48075,CCOS 008,Calculo Integral,OO3,L,1600-1659,AYAQUICA - MARTINEZ IRENE OLAYA,1CCO4/202
48075,CCOS 008,Calculo Integral,OO3,A,1500-1659,AYAQUICA - MARTINEZ IRENE OLAYA,1CCO4/202
48075,CCOS 008,Calculo Integral,OO3,J,1500-1659,AYAQUICA - MARTINEZ IRENE OLAYA,1CCO4/202
48068,CCOS 008,Calculo Integral,OO6,L,0900-0959,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/202
48068,CCOS 008,Calculo Integral,OO6,M,0900-1059,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/202
48068,CCOS 008,Calculo Integral,OO6,V,0900-1059,GONZALEZ - VELAZQUEZ ROGELIO,1CCO4/202
49951,CCOS 010,Programacion II,OO3,L,1100-1159,BELTRAN - MARTINEZ BEATRIZ,1CCO4/101
49951,CCOS 010,Programacion II,OO3,M,1100-1259,BELTRAN - MARTINEZ BEATRIZ,1CCO4/101
49951,CCOS 010,Programacion II,OO3,V,1100-1259,BELTRAN - MARTINEZ BEATRIZ,1CCO4/403
48451,CCOS 013,Estructuras de Datos,OO2,L,1000-1059,MELENDEZ - TEODORO AUGUSTO,1CCO1/002
48451,CCOS 013,Estructuras de Datos,OO2,A,0900-1059,MELENDEZ - TEODORO AUGUSTO,1CCO1/002
48451,CCOS 013,Estructuras de Datos,OO2,J,0900-1059,MELENDEZ - TEODORO AUGUSTO,1CCO3/109
48283,CCOS 013,Estructuras de Datos,OO3,L,1400-1459,SALAZAR - MARTINEZ HILARIO,1CCO1/001
48283,CCOS 013,Estructuras de Datos,OO3,A,1300-1459,SALAZAR - MARTINEZ HILARIO,1CCO1/001
48283,CCOS 013,Estructuras de Datos,OO3,J,1300-1459,SALAZAR - MARTINEZ HILARIO,1CCO3/109
48280,CCOS 013,Estructuras de Datos,OO4,L,1500-1559,VARGAS - LOMELI MIGUEL ANGEL,1CCO4/402
48280,CCOS 013,Estructuras de Datos,OO4,M,1500-1659,VARGAS - LOMELI MIGUEL ANGEL,1CCO4/402
48280,CCOS 013,Estructuras de Datos,OO4,V,1500-1659,VARGAS - LOMELI MIGUEL ANGEL,1CCO3/109
49135,CCOS 251,Probabilidad y Estadistica,OO1,L,0900-0959,GARCIA - JUAREZ PEDRO,1CCO4/305
49135,CCOS 251,Probabilidad y Estadistica,OO1,M,0900-1059,GARCIA - JUAREZ PEDRO,1CCO4/305
49135,CCOS 251,Probabilidad y Estadistica,OO1,V,0900-1059,GARCIA - JUAREZ PEDRO,1CCO4/305
49145,CCOS 251,Probabilidad y Estadistica,OO2,L,1300-1359,CONTRERAS - JUAREZ ROBERTO,1CCO4/305
49145,CCOS 251,Probabilidad y Estadistica,OO2,M,1300-1459,CONTRERAS - JUAREZ ROBERTO,1CCO4/305
49145,CCOS 251,Probabilidad y Estadistica,OO2,V,1300-1459,CONTRERAS - JUAREZ ROBERTO,1CCO4/305
49477,CCOS 251,Probabilidad y Estadistica,OO4,L,1000-1059,PEREZ - PEREZ FABRICIO OTONIEL,1CCO4/201
49477,CCOS 251,Probabilidad y Estadistica,OO4,A,0900-1059,PEREZ - PEREZ FABRICIO OTONIEL,1CCO4/201
49477,CCOS 251,Probabilidad y Estadistica,OO4,J,0900-1059,PEREZ - PEREZ FABRICIO OTONIEL,1CCO4/201
49486,CCOS 251,Probabilidad y Estadistica,OO5,L,0800-0859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO5/201
49486,CCOS 251,Probabilidad y Estadistica,OO5,A,0700-0859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO5/201
49486,CCOS 251,Probabilidad y Estadistica,OO5,J,0700-0859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO5/201
49495,CCOS 251,Probabilidad y Estadistica,OO6,L,0700-0759,MARTINEZ - GUZMAN GERARDO,1CCO4/301
49495,CCOS 251,Probabilidad y Estadistica,OO6,M,0700-0859,MARTINEZ - GUZMAN GERARDO,1CCO4/301
49495,CCOS 251,Probabilidad y Estadistica,OO6,V,0700-0859,MARTINEZ - GUZMAN GERARDO,1CCO4/301
50152,CCOS 252,Sistemas Operativos I,OO1,L,0700-0759,AGUILAR - RICO ADOLFO,1CCO1/002
50152,CCOS 252,Sistemas Operativos I,OO1,M,0700-0859,AGUILAR - RICO ADOLFO,1CCO3/109
50152,CCOS 252,Sistemas Operativos I,OO1,V,0700-0859,AGUILAR - RICO ADOLFO,1CCO1/002
50153,CCOS 252,Sistemas Operativos I,OO2,L,1200-1259,DE LA ROSA - FLORES RAFAEL,1CCO1/002
50153,CCOS 252,Sistemas Operativos I,OO2,A,1100-1259,DE LA ROSA - FLORES RAFAEL,1CCO1/002
50153,CCOS 252,Sistemas Operativos I,OO2,J,1100-1259,DE LA ROSA - FLORES RAFAEL,1CCO3/101
50155,CCOS 252,Sistemas Operativos I,OO3,L,1300-1359,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO1/003
50155,CCOS 252,Sistemas Operativos I,OO3,M,1300-1459,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO1/003
50155,CCOS 252,Sistemas Operativos I,OO3,V,1300-1459,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO3/109
50158,CCOS 252,Sistemas Operativos I,OO5,L,0900-0959,SANTIAGO - DIAZ MARIA DEL CARMEN,1CCO5/203
50158,CCOS 252,Sistemas Operativos I,OO5,M,0900-1059,SANTIAGO - DIAZ MARIA DEL CARMEN,1CCO5/203
50158,CCOS 252,Sistemas Operativos I,OO5,V,0900-1059,SANTIAGO - DIAZ MARIA DEL CARMEN,1CCO3/109
50160,CCOS 252,Sistemas Operativos I,OO6,L,1700-1759,ROMAN - FLORES ALBERTO,1CCO4/404
50160,CCOS 252,Sistemas Operativos I,OO6,M,1700-1859,ROMAN - FLORES ALBERTO,1CCO1/004
50160,CCOS 252,Sistemas Operativos I,OO6,V,1700-1859,ROMAN - FLORES ALBERTO,1CCO4/404
50162,CCOS 252,Sistemas Operativos I,OO7,L,1400-1459,ORATO - RAMIREZ JOSE MARTIN,1CCO4/308
50162,CCOS 252,Sistemas Operativos I,OO7,A,1300-1459,ORATO - RAMIREZ JOSE MARTIN,1CCO4/308
50162,CCOS 252,Sistemas Operativos I,OO7,J,1300-1459,ORATO - RAMIREZ JOSE MARTIN,1CCO4/307
50165,CCOS 254,Sistemas Operativos II,OO1,L,0700-0759,DE LA ROSA - FLORES RAFAEL,1CCO1/005
50165,CCOS 254,Sistemas Operativos II,OO1,M,0700-0859,DE LA ROSA - FLORES RAFAEL,1CCO1/005
50165,CCOS 254,Sistemas Operativos II,OO1,V,0700-0859,DE LA ROSA - FLORES RAFAEL,1CCO4/307
50167,CCOS 254,Sistemas Operativos II,OO2,L,1000-1059,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO1/005
50167,CCOS 254,Sistemas Operativos II,OO2,A,0900-1059,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO3/109
50167,CCOS 254,Sistemas Operativos II,OO2,J,0900-1059,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO1/005
50170,CCOS 254,Sistemas Operativos II,OO3,L,1300-1359,CASTILLO - ZACATELCO HILDA,1CCO1/005
50170,CCOS 254,Sistemas Operativos II,OO3,M,1300-1459,CASTILLO - ZACATELCO HILDA,1CCO3/109
50170,CCOS 254,Sistemas Operativos II,OO3,V,1300-1459,CASTILLO - ZACATELCO HILDA,1CCO1/005
50173,CCOS 254,Sistemas Operativos II,OO4,L,1800-1859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO4/101
50173,CCOS 254,Sistemas Operativos II,OO4,A,1700-1859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO3/114
50173,CCOS 254,Sistemas Operativos II,OO4,J,1700-1859,DAWE - GONZALEZ ARTURO ALEJANDRO,1CCO4/101
50177,CCOS 254,Sistemas Operativos II,OO5,L,1600-1659,RODRIGUEZ - BERNAL FERNANDO,1CCO1/004
50177,CCOS 254,Sistemas Operativos II,OO5,A,1500-1659,RODRIGUEZ - BERNAL FERNANDO,1CCO1/004
50177,CCOS 254,Sistemas Operativos II,OO5,J,1500-1659,RODRIGUEZ - BERNAL FERNANDO,1CCO4/307
48224,CCOS 261,Graficacion,OO1,L,1300-1359,AYAQUICA - MARTINEZ IRENE OLAYA,1CCO5/201
48224,CCOS 261,Graficacion,OO1,M,1300-1459,AYAQUICA - MARTINEZ IRENE OLAYA,1CCO3/101
