NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
21619,FCCA 001,Fundamentos de Matematicas,OO6,L,1300-1359,HERNANDEZ - HERNANDEZ MARIA DEL ROSARIO,12EMA3/203
21619,FCCA 001,Fundamentos de Matematicas,OO6,A,1200-1359,HERNANDEZ - HERNANDEZ MARIA DEL ROSARIO,12EMA3/203
21619,FCCA 001,Fundamentos de Matematicas,OO6,J,1200-1359,HERNANDEZ - HERNANDEZ MARIA DEL ROSARIO,12EMA8/302
21638,FCCA 001,Fundamentos de Matematicas,OO7,L,0800-0859,ARIZA - VELAZQUEZ EDUARDO,12EM11/104
21638,FCCA 001,Fundamentos de Matematicas,OO7,M,0800-0959,ARIZA - VELAZQUEZ EDUARDO,12EM11/104
21638,FCCA 001,Fundamentos de Matematicas,OO7,V,0800-0959,ARIZA - VELAZQUEZ EDUARDO,12EMA4/201
21672,FCCA 001,Fundamentos de Matematicas,OO8,L,0900-0959,ARIZA - VELAZQUEZ EDUARDO,12EMA8/306
21672,FCCA 001,Fundamentos de Matematicas,OO8,A,0800-0959,ARIZA - VELAZQUEZ EDUARDO,12EMA5/106
21672,FCCA 001,Fundamentos de Matematicas,OO8,J,0800-0959,ARIZA - VELAZQUEZ EDUARDO,12EMA8/306
23716,FCCA 001,Fundamentos de Matematicas,OO4,L,0800-0859,ROMERO - TEHUITZIL OLIVIA,12EMA8/305
23716,FCCA 001,Fundamentos de Matematicas,OO4,M,0800-0959,ROMERO - TEHUITZIL OLIVIA,12EMA8/305
23716,FCCA 001,Fundamentos de Matematicas,OO4,V,0800-0959,ROMERO - TEHUITZIL OLIVIA,12EMA4/301
23725,FCCA 001,Fundamentos de Matematicas,OO5,L,0900-0959,GARCIA - TAMAYO ROSA,12EMA4/301
23725,FCCA 001,Fundamentos de Matematicas,OO5,A,0800-0959,GARCIA - TAMAYO ROSA,12EMA4/301
23725,FCCA 001,Fundamentos de Matematicas,OO5,J,0800-0959,GARCIA - TAMAYO ROSA,12EMA8/305
23738,FCCA 001,Fundamentos de Matematicas,O15,L,1500-1559,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA4/301
23738,FCCA 001,Fundamentos de Matematicas,O15,A,1400-1559,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA4/301
23738,FCCA 001,Fundamentos de Matematicas,O15,J,1400-1559,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA8/305
23742,FCCA 001,Fundamentos de Matematicas,O14,L,1400-1459,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA8/305
23742,FCCA 001,Fundamentos de Matematicas,O14,M,1400-1559,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA8/305
23742,FCCA 001,Fundamentos de Matematicas,O14,V,1400-1559,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA4/301
23766,FCCA 001,Fundamentos de Matematicas,O16,L,0900-0959,ZAMORA - LIMA CARLOS,12EMA5/107
23766,FCCA 001,Fundamentos de Matematicas,O16,A,0800-0959,ZAMORA - LIMA CARLOS,12EMA5/107
23766,FCCA 001,Fundamentos de Matematicas,O16,J,0800-0959,ZAMORA - LIMA CARLOS,12EMA3/204
23769,FCCA 001,Fundamentos de Matematicas,OO9,L,1400-1459,TORRES - GONZALEZ MAURICIO,12EMA8/302
23769,FCCA 001,Fundamentos de Matematicas,OO9,M,1400-1559,TORRES - GONZALEZ MAURICIO,12EMA8/302
23769,FCCA 001,Fundamentos de Matematicas,OO9,V,1400-1559,TORRES - GONZALEZ MAURICIO,12EMA4/207
23776,FCCA 001,Fundamentos de Matematicas,O11,L,1500-1559,OTERO - GONZALEZ JORGE,12EMA8/303
23776,FCCA 001,Fundamentos de Matematicas,O11,A,1400-1559,OTERO - GONZALEZ JORGE,12EMA8/303
23776,FCCA 001,Fundamentos de Matematicas,O11,J,1400-1559,OTERO - GONZALEZ JORGE,12EMA4/208
23781,FCCA 001,Fundamentos de Matematicas,O1O,L,0900-0959,LEYVA - BONILLA JUAN FRANCISCO,12EMA8/303
23781,FCCA 001,Fundamentos de Matematicas,O1O,A,0800-0959,LEYVA - BONILLA JUAN FRANCISCO,12EMA8/303
23781,FCCA 001,Fundamentos de Matematicas,O1O,J,0800-0959,LEYVA - BONILLA JUAN FRANCISCO,12EMA4/208
21770,FCCA 002,Algebra Superior Aplicada,OO6,L,1200-1259,ROJAS - PEREZ ISRRAEL,12EMA8/303
21770,FCCA 002,Algebra Superior Aplicada,OO6,M,1200-1359,ROJAS - PEREZ ISRRAEL,12EMA8/303
21770,FCCA 002,Algebra Superior Aplicada,OO6,V,1200-1359,ROJAS - PEREZ ISRRAEL,12EMA4/208
21792,FCCA 002,Algebra Superior Aplicada,OO7,L,1300-1359,ESPINDOLA - POZOS ARMANDO,12EMA4/207
21792,FCCA 002,Algebra Superior Aplicada,OO7,A,1200-1359,ESPINDOLA - POZOS ARMANDO,12EMA4/207
21792,FCCA 002,Algebra Superior Aplicada,OO7,J,1200-1359,ESPINDOLA - POZOS ARMANDO,12EMA8/205
21813,FCCA 002,Algebra Superior Aplicada,OO9,L,1000-1059,ROMERO - TEHUITZIL OLIVIA,12EMA5/107
21813,FCCA 002,Algebra Superior Aplicada,OO9,M,1000-1159,ROMERO - TEHUITZIL OLIVIA,12EMA5/108
21813,FCCA 002,Algebra Superior Aplicada,OO9,V,1000-1159,ROMERO - TEHUITZIL OLIVIA,12EMA5/108
21827,FCCA 002,Algebra Superior Aplicada,OO8,L,0800-0859,ESPINDOLA - POZOS ARMANDO,12EMA8/306
21827,FCCA 002,Algebra Superior Aplicada,OO8,M,0800-0959,ESPINDOLA - POZOS ARMANDO,12EMA5/106
21827,FCCA 002,Algebra Superior Aplicada,OO8,V,0800-0959,ESPINDOLA - POZOS ARMANDO,12EMA8/306
23680,FCCA 002,Algebra Superior Aplicada,OO3,L,1400-1459,OTERO - GONZALEZ JORGE,12EMA5/105
23680,FCCA 002,Algebra Superior Aplicada,OO3,M,1400-1559,OTERO - GONZALEZ JORGE,12EMA5/105
23680,FCCA 002,Algebra Superior Aplicada,OO3,V,1400-1559,OTERO - GONZALEZ JORGE,12EMA4/208
23706,FCCA 002,Algebra Superior Aplicada,OO4,L,0900-0959,RIOS - GONZALEZ ELVIA,12EMA8/305
23706,FCCA 002,Algebra Superior Aplicada,OO4,A,0800-0959,RIOS - GONZALEZ ELVIA,12EMA8/305
23706,FCCA 002,Algebra Superior Aplicada,OO4,J,0800-0959,RIOS - GONZALEZ ELVIA,12EMA4/301
23746,FCCA 002,Algebra Superior Aplicada,O11,L,1400-1459,ARENAS - MARTINEZ GUADALUPE YOANNA,12EMA4/301
