NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
24732,CCOS 260,Redes de Computadoras,OO1,L,1000-1059,SANCHEZ - ROMAN GUILLERMINA,1CCO4/305
24732,CCOS 260,Redes de Computadoras,OO1,A,0900-1059,SANCHEZ - ROMAN GUILLERMINA,1CCO4/305
24732,CCOS 260,Redes de Computadoras,OO1,J,0900-1059,SANCHEZ - ROMAN GUILLERMINA,1CCO4/303
24745,CCOS 260,Redes de Computadoras,OO2,L,0800-0859,RAMIREZ - ESPITIA CARLOS MAURICIO,1CCO4/402
24745,CCOS 260,Redes de Computadoras,OO2,A,0700-0859,RAMIREZ - ESPITIA CARLOS MAURICIO,1CCO4/402
24745,CCOS 260,Redes de Computadoras,OO2,J,0700-0859,RAMIREZ - ESPITIA CARLOS MAURICIO,1CCO3/303
24779,CCOS 260,Redes de Computadoras,OO3,L,1300-1359,RODRIGUEZ - BERNAL FERNANDO,1CCO3/303
24779,CCOS 260,Redes de Computadoras,OO3,M,1300-1459,RODRIGUEZ - BERNAL FERNANDO,1CCO4/301
24779,CCOS 260,Redes de Computadoras,OO3,V,1300-1459,RODRIGUEZ - BERNAL FERNANDO,1CCO3/303
20226,FGUS 006,Lengua Extranjera III,101,MV,1300-1459,ORTEGA - VERGARA MARTHA OFELIA,1CCO4/103
20227,FGUS 006,Lengua Extranjera III,102,AJ,1500-1659,MARIN - URBANO DIONISIO EDUARDO,1CCO4/103
20228,FGUS 006,Lengua Extranjera III,103,MV,1100-1259,FLORES - CALYECA CARINA,1CCO4/301
20229,FGUS 006,Lengua Extranjera III,104,AJ,1300-1459,ORTEGA - VERGARA MARTHA OFELIA,1CCO4/301
20231,FGUS 007,Lengua Extranjera IV,101,MV,0900-1059,FLORES - CALYECA CARINA,1CCO4/102
20232,FGUS 007,Lengua Extranjera IV,102,MV,0700-0859,ALCARAZ - BARRIOS MARISOL,1CCO4/101
20233,FGUS 007,Lengua Extranjera IV,103,MV,1100-1259,DE ITA - LUNA DANIEL,1CCO4/304
20234,FGUS 007,Lengua Extranjera IV,104,AJ,1500-1659,ORTEGA - VERGARA MARTHA OFELIA,1CCO4/303
20235,FGUS 007,Lengua Extranjera IV,105,A,1300-1459,DE ITA - LUNA DANIEL,1CCO4/102
20235,FGUS 007,Lengua Extranjera IV,105,J,1300-1459,DE ITA - LUNA DANIEL,1CCO4/101
20236,FGUS 007,Lengua Extranjera IV,106,MV,1500-1659,ORTEGA - VERGARA MARTHA OFELIA,1CCO4/102
20237,FGUS 007,Lengua Extranjera IV,107,AJ,0700-0859,CUATZO - TONACATL GLORIA,1CCO4/103
24418,IDDS 001,Administracion de Proyectos,102,A,0900-1059,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO5/203
24418,IDDS 001,Administracion de Proyectos,102,J,0900-1059,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO5/203
24489,IDDS 001,Administracion de Proyectos,108,A,1100-1259,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO4/203
24489,IDDS 001,Administracion de Proyectos,108,J,1100-1259,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO4/203
24525,IDDS 001,Administracion de Proyectos,109,M,0700-0859,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO4/103
24525,IDDS 001,Administracion de Proyectos,109,V,0700-0859,ROMERO - VALDEZ MARIA DEL CARMEN,1CCO4/103
24569,IDDS 002,Proyectos I + D I,102,MV,0900-1059,SANCHEZ - ROMAN GUILLERMINA,1CCO4/103
24586,IDDS 002,Proyectos I + D I,105,A,1300-1459,PEREZ DE CELIS - HERRERO MARIA DE LA CONCEPCION,1CCO4/303
24586,IDDS 002,Proyectos I + D I,105,J,1300-1459,PEREZ DE CELIS - HERRERO MARIA DE LA CONCEPCION,1CCO4/303
24603,IDDS 002,Proyectos I + D I,106,A,1700-1859,ROSALES - LOPEZ KARINA,1CCO4/103
24603,IDDS 002,Proyectos I + D I,106,J,1700-1859,ROSALES - LOPEZ KARINA,1CCO4/103
24622,IDDS 002,Proyectos I + D I,107,M,1500-1659,ROSALES - LOPEZ KARINA,1CCO4/203
24622,IDDS 002,Proyectos I + D I,107,V,1500-1659,ROSALES - LOPEZ KARINA,1CCO4/203
24555,ISTI 200,Ingenieria de Software II,OO1,L,1100-1159,DE LA ROSA - FLORES RAFAEL,1CCO4/102
24555,ISTI 200,Ingenieria de Software II,OO1,M,1100-1259,DE LA ROSA - FLORES RAFAEL,1CCO4/102
24555,ISTI 200,Ingenieria de Software II,OO1,V,1100-1259,DE LA ROSA - FLORES RAFAEL,1CCO4/102
24644,ISTI 200,Ingenieria de Software II,OO3,L,1300-1359,GONZALEZ - CALLEROS JUAN MANUEL,1CCO5/203
24644,ISTI 200,Ingenieria de Software II,OO3,M,1300-1459,GONZALEZ - CALLEROS JUAN MANUEL,1CCO5/203
24644,ISTI 200,Ingenieria de Software II,OO3,V,1300-1459,GONZALEZ - CALLEROS JUAN MANUEL,1CCO3/101
24357,ISTI 201,Administracion de Redes,OO1,L,1100-1159,COLORADO - JIMENEZ GUILLERMO,1CCO1/004
24357,ISTI 201,Administracion de Redes,OO1,M,1100-1259,COLORADO - JIMENEZ GUILLERMO,1CCO3/303
24357,ISTI 201,Administracion de Redes,OO1,V,1100-1259,COLORADO - JIMENEZ GUILLERMO,1CCO1/004
24382,ISTI 201,Administracion de Redes,OO2,L,1200-1259,BAUTISTA - LOPEZ VERONICA EDITH,1CCO4/202
24382,ISTI 201,Administracion de Redes,OO2,A,1100-1259,BAUTISTA - LOPEZ VERONICA EDITH,1CCO4/202
24382,ISTI 201,Administracion de Redes,OO2,J,1100-1259,BAUTISTA - LOPEZ VERONICA EDITH,1CCO3/301
25877,ISTI 201,Administracion de Redes,OO4,L,1600-1659,ROMERO - HERNANDEZ YEINY,1CCO3/303
25877,ISTI 201,Administracion de Redes,OO4,A,1500-1659,ROMERO - HERNANDEZ YEINY,1CCO3/303
25877,ISTI 201,Administracion de Redes,OO4,J,1500-1659,ROMERO - HERNANDEZ YEINY,1CCO3/303
25790,ISTI 202,Inteligencia de Negocios,OO2,L,0900-0959,GUERRERO - GARCIA JOSEFINA,1CCO4/403
25790,ISTI 202,Inteligencia de Negocios,OO2,M,0900-1059,GUERRERO - GARCIA JOSEFINA,1CCO5/201
25790,ISTI 202,Inteligencia de Negocios,OO2,V,0900-1059,GUERRERO - GARCIA JOSEFINA,1CCO4/304
40267,ISTI 202,Inteligencia de Negocios,OO5,L,0900-0959,RODRIGUEZ - PEDROZA BERENICE,1CCO4/201
40267,ISTI 202,Inteligencia de Negocios,OO5,MV,0900-1059,RODRIGUEZ - PEDROZA BERENICE,1CCO4/201
25868,ISTI 203,Prog. de Dispositivos Moviles,OO2,L,1000-1059,MELENDEZ - TEODORO AUGUSTO,1CCO4/404
25868,ISTI 203,Prog. de Dispositivos Moviles,OO2,AJ,0900-1059,MELENDEZ - TEODORO AUGUSTO,1CCO4/402
25846,ISTI 204,Trabajo Colaborativo,OO2,L,0700-0759,GUERRERO - GARCIA JOSEFINA,1CCO3/104
25846,ISTI 204,Trabajo Colaborativo,OO2,M,0700-0859,GUERRERO - GARCIA JOSEFINA,1CCO3/104
25846,ISTI 204,Trabajo Colaborativo,OO2,V,0700-0859,GUERRERO - GARCIA JOSEFINA,1CCO4/203
25856,ISTI 204,Trabajo Colaborativo,OO3,L,1600-1659,MARTINEZ - MIRON ERIKA ANNABEL,1CCO4/204
25856,ISTI 204,Trabajo Colaborativo,OO3,A,1500-1659,MARTINEZ - MIRON ERIKA ANNABEL,1CCO4/204
25856,ISTI 204,Trabajo Colaborativo,OO3,J,1500-1659,MARTINEZ - MIRON ERIKA ANNABEL,1CCO4/204
25862,ITIS 008,Matematicas Discretas,OO1,L,1200-1259,HERNANDEZ - RAMIREZ ANABEL,1CCO4/402
25862,ITIS 008,Matematicas Discretas,OO1,A,1100-1259,HERNANDEZ - RAMIREZ ANABEL,1CCO4/402
25862,ITIS 008,Matematicas Discretas,OO1,J,1100-1259,HERNANDEZ - RAMIREZ ANABEL,1CCO4/402
25872,ITIS 009,Probabilidad y Estadistica,OO2,L,1000-1059,PALOMINO - JIMENEZ CARLOS,1CCO4/204
25872,ITIS 009,Probabilidad y Estadistica,OO2,A,0900-1059,PALOMINO - JIMENEZ CARLOS,1CCO4/204
25872,ITIS 009,Probabilidad y Estadistica,OO2,J,0900-1059,PALOMINO - JIMENEZ CARLOS,1CCO4/204
25871,ITIS 012,Metodos Estadisticos,OO2,L,1000-1059,HERNANDEZ - RAMIREZ ANABEL,1CCO4/301
25871,ITIS 012,Metodos Estadisticos,OO2,A,0900-1059,HERNANDEZ - RAMIREZ ANABEL,1CCO4/301
25871,ITIS 012,Metodos Estadisticos,OO2,J,0900-1059,HERNANDEZ - RAMIREZ ANABEL,1CCO4/301
24574,ITIS 013,Ingenieria de Software I,OO2,L,1100-1159,ROSSAINZ - LOPEZ MARIO,1CCO5/201
24574,ITIS 013,Ingenieria de Software I,OO2,M,1100-1259,ROSSAINZ - LOPEZ MARIO,1CCO5/201
24574,ITIS 013,Ingenieria de Software I,OO2,V,1100-1259,ROSSAINZ - LOPEZ MARIO,1CCO5/201
25852,ITIS 250,Redes y Servicios,OO4,L,1300-1359,ROMERO - HERNANDEZ YEINY,1CCO3/301
25852,ITIS 250,Redes y Servicios,OO4,M,1300-1459,ROMERO - HERNANDEZ YEINY,1CCO3/301
25852,ITIS 250,Redes y Servicios,OO4,V,1300-1459,ROMERO - HERNANDEZ YEINY,1CCO3/301
25887,ITIS 250,Redes y Servicios,OO2,L,1200-1259,ROMERO - HERNANDEZ YEINY,1CCO4/206
25887,ITIS 250,Redes y Servicios,OO2,A,1100-1259,ROMERO - HERNANDEZ YEINY,1CCO4/206
25887,ITIS 250,Redes y Servicios,OO2,J,1100-1259,ROMERO - HERNANDEZ YEINY,1CCO4/305
24495,ITIS 251,Integr.de Sistemas y Arquitect,OO2,L,1100-1159,HERNANDEZ - AMECA JOSE LUIS,1CCO4/206
24495,ITIS 251,Integr.de Sistemas y Arquitect,OO2,M,1100-1259,HERNANDEZ - AMECA JOSE LUIS,1CCO4/206
24495,ITIS 251,Integr.de Sistemas y Arquitect,OO2,V,1100-1259,HERNANDEZ - AMECA JOSE LUIS,1CCO4/206
24522,ITIS 251,Integr.de Sistemas y Arquitect,OO1,L,1400-1459,PEREZ - LUCERO JOSUE,1CCO2/208
24522,ITIS 251,Integr.de Sistemas y Arquitect,OO1,A,1300-1459,PEREZ - LUCERO JOSUE,1CCO2/208
24522,ITIS 251,Integr.de Sistemas y Arquitect,OO1,J,1300-1459,PEREZ - LUCERO JOSUE,1CCO5/201
24339,ITIS 252,Administrac. de Bases de Datos,OO3,L,0900-0959,CONTRERAS - GONZALEZ MELIZA,1CCO4/301
24339,ITIS 252,Administrac. de Bases de Datos,OO3,M,0900-1059,CONTRERAS - GONZALEZ MELIZA,1CCO4/301
24339,ITIS 252,Administrac. de Bases de Datos,OO3,V,0900-1059,CONTRERAS - GONZALEZ MELIZA,1CCO4/403
21826,ITIS 253,Fund.de la Programacion Logica,OO2,M,1500-1659,CONTRERAS - JUAREZ ROBERTO,1CCO4/301
21826,ITIS 253,Fund.de la Programacion Logica,OO2,V,1500-1659,CONTRERAS - JUAREZ ROBERTO,1CCO4/301
21905,ITIS 253,Fund.de la Programacion Logica,OO1,A,0900-1059,MARCIAL - CASTILLO LUIS RENE,1CCO4/303
21905,ITIS 253,Fund.de la Programacion Logica,OO1,J,0900-1059,MARCIAL - CASTILLO LUIS RENE,1CCO4/304
40312,ITIS 253,Fund.de la Programacion Logica,OO5,MV,1100-1259,PALOMINO - JIMENEZ CARLOS,1CCO4/402
24403,ITIS 254,Admon. de Sistemas Operativos,OO1,L,1600-1659,PEREZ - LUCERO JOSUE,1CCO1/001
24403,ITIS 254,Admon. de Sistemas Operativos,OO1,A,1500-1659,PEREZ - LUCERO JOSUE,1CCO1/001
24403,ITIS 254,Admon. de Sistemas Operativos,OO1,J,1500-1659,PEREZ - LUCERO JOSUE,1CCO3/109
24403,ITIS 254,Admon. de Sistemas Operativos,OO1,S,1500-1559,PEREZ - LUCERO JOSUE,1CCO3/109
24424,ITIS 254,Admon. de Sistemas Operativos,OO2,L,1200-1259,COLMENARES - GUILLEN LUIS ENRIQUE,1CCO4/305
