NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
23174,FCCA 004,Introduccion a las Matematicas,OO2,L,1100-1159,ROJAS - PEREZ ISRRAEL,12EMA8/202
23174,FCCA 004,Introduccion a las Matematicas,OO2,A,1000-1159,ROJAS - PEREZ ISRRAEL,12EMA8/202
23174,FCCA 004,Introduccion a las Matematicas,OO2,J,1000-1159,ROJAS - PEREZ ISRRAEL,12EMA4/306
23203,FCCA 004,Introduccion a las Matematicas,OO3,L,1100-1159,REYES - GARCES LUZ DEL CARMEN,12EMA8/301
23203,FCCA 004,Introduccion a las Matematicas,OO3,A,1000-1159,REYES - GARCES LUZ DEL CARMEN,12EM11/104
23203,FCCA 004,Introduccion a las Matematicas,OO3,J,1000-1159,REYES - GARCES LUZ DEL CARMEN,12EMA4/206
23727,FCCA 004,Introduccion a las Matematicas,OO4,L,1300-1359,TORRES - ACUITLAPA OMAR,12EMA3/205
23727,FCCA 004,Introduccion a las Matematicas,OO4,A,1200-1359,TORRES - ACUITLAPA OMAR,12EMA3/205
23727,FCCA 004,Introduccion a las Matematicas,OO4,J,1200-1359,TORRES - ACUITLAPA OMAR,12EMA5/105
23761,FCCA 004,Introduccion a las Matematicas,OO1,L,0900-0959,MORALES - AGUILAR LUIS ENRIQUE,12EMA8/202
23761,FCCA 004,Introduccion a las Matematicas,OO1,A,0800-0959,MORALES - AGUILAR LUIS ENRIQUE,12EMA8/202
23761,FCCA 004,Introduccion a las Matematicas,OO1,J,0800-0959,MORALES - AGUILAR LUIS ENRIQUE,12EMA4/306
33593,FCCA 004,Introduccion a las Matematicas,O1O,L,1300-1359,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA5/108
33593,FCCA 004,Introduccion a las Matematicas,O1O,A,1200-1359,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA5/108
33593,FCCA 004,Introduccion a las Matematicas,O1O,J,1200-1359,AGUIRRE - SAGAON FERNANDO DANIEL,12EMA5/108
33677,FCCA 004,Introduccion a las Matematicas,O12,L,1300-1359,PORTILLO - RAMIREZ GUSTAVO,12EMA3/101
33677,FCCA 004,Introduccion a las Matematicas,O12,A,1200-1359,PORTILLO - RAMIREZ GUSTAVO,12EMA3/101
33677,FCCA 004,Introduccion a las Matematicas,O12,J,1200-1359,PORTILLO - RAMIREZ GUSTAVO,12EMA8/201
23691,FCCA 005,Introduccion a la Programacion,OO2,L,1500-1559,ACOSTA - RUIZ SAMANTHA,12EMA8/202
23691,FCCA 005,Introduccion a la Programacion,OO2,A,1400-1559,ACOSTA - RUIZ SAMANTHA,12EMA8/202
23691,FCCA 005,Introduccion a la Programacion,OO2,J,1400-1559,ACOSTA - RUIZ SAMANTHA,12EMA4/306
23715,FCCA 005,Introduccion a la Programacion,OO4,L,0800-0859,MEJIA - MATIAS HILDA,12EMA3/205
23715,FCCA 005,Introduccion a la Programacion,OO4,M,0800-0959,MEJIA - MATIAS HILDA,12EMA3/205
23715,FCCA 005,Introduccion a la Programacion,OO4,V,0800-0959,MEJIA - MATIAS HILDA,12EMA5/105
23739,FCCA 005,Introduccion a la Programacion,OO3,L,1500-1559,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA8/201
23739,FCCA 005,Introduccion a la Programacion,OO3,A,1400-1559,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA3/101
23739,FCCA 005,Introduccion a la Programacion,OO3,J,1400-1559,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA8/201
23740,FCCA 005,Introduccion a la Programacion,OO5,L,1500-1559,PEREZ - PEREZ FABRICIO OTONIEL,12EMA3/205
23740,FCCA 005,Introduccion a la Programacion,OO5,A,1400-1559,PEREZ - PEREZ FABRICIO OTONIEL,12EMA3/205
