NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salon
21365,CCOA 001,Matematicas para la Comput. I,OO1,L,0900-0959,ROMERO - TEHUITZIL OLIVIA,12EMA4/206
21365,CCOA 001,Matematicas para la Comput. I,OO1,A,0800-0959,ROMERO - TEHUITZIL OLIVIA,12EMA4/206
21365,CCOA 001,Matematicas para la Comput. I,OO1,J,0800-0959,ROMERO - TEHUITZIL OLIVIA,12EMA8/301
21394,CCOA 001,Matematicas para la Comput. I,OO2,L,1600-1659,VALENCIA - SEGURA LUIS ERNESTO,12EMA3/101
21394,CCOA 001,Matematicas para la Comput. I,OO2,M,1600-1759,VALENCIA - SEGURA LUIS ERNESTO,12EMA3/204
21394,CCOA 001,Matematicas para la Comput. I,OO2,V,1600-1759,VALENCIA - SEGURA LUIS ERNESTO,12EMA3/101
21581,CCOA 001,Matematicas para la Comput. I,OO3,L,1000-1059,ESPINDOLA - POZOS ARMANDO,12EMA4/206
21581,CCOA 001,Matematicas para la Comput. I,OO3,M,1000-1159,ESPINDOLA - POZOS ARMANDO,12EMA4/206
21581,CCOA 001,Matematicas para la Comput. I,OO3,V,1000-1159,ESPINDOLA - POZOS ARMANDO,12EMA8/301
21422,CCOA 002,Algebra Superior,OO1,L,0900-0959,REYES - GARCES LUZ DEL CARMEN,12EMA4/207
21422,CCOA 002,Algebra Superior,OO1,A,0800-0959,REYES - GARCES LUZ DEL CARMEN,12EMA8/302
21422,CCOA 002,Algebra Superior,OO1,J,0800-0959,REYES - GARCES LUZ DEL CARMEN,12EMA4/207
21458,CCOA 003,Ensamblador,OO1,L,0800-0859,RODRIGUEZ - PEREZ FERNANDO,12EMA4/101
21458,CCOA 003,Ensamblador,OO1,M,0800-0959,RODRIGUEZ - PEREZ FERNANDO,12EMA4/101
21458,CCOA 003,Ensamblador,OO1,V,0800-0959,RODRIGUEZ - PEREZ FERNANDO,12EMA8/202
21656,CCOA 003,Ensamblador,OO2,L,1700-1759,VALENCIA - SEGURA LUIS ERNESTO,12EMA5/106
21656,CCOA 003,Ensamblador,OO2,A,1600-1759,VALENCIA - SEGURA LUIS ERNESTO,12EMA5/106
21656,CCOA 003,Ensamblador,OO2,J,1600-1759,VALENCIA - SEGURA LUIS ERNESTO,12EMA5/106
21829,CCOA 004,Programacion Estructurada,OO1,L,1100-1159,TORRES - ACUITLAPA OMAR,12EMA8/206
21829,CCOA 004,Programacion Estructurada,OO1,A,1000-1159,TORRES - ACUITLAPA OMAR,12EMA8/206
21829,CCOA 004,Programacion Estructurada,OO1,J,1000-1159,TORRES - ACUITLAPA OMAR,12EMA5/108
21852,CCOA 004,Programacion Estructurada,OO2,L,1200-1259,OLIVARES - SOTO LUIS GUSTAVO,12EMA3/203
21852,CCOA 004,Programacion Estructurada,OO2,M,1200-1359,OLIVARES - SOTO LUIS GUSTAVO,12EMA3/203
21852,CCOA 004,Programacion Estructurada,OO2,V,1200-1359,OLIVARES - SOTO LUIS GUSTAVO,12EMA3/203
21596,CCOA 006,Metodos Numericos,OO1,L,0800-0859,GARCIA - TAMAYO ROSA,12EMA4/207
21596,CCOA 006,Metodos Numericos,OO1,M,0800-0959,GARCIA - TAMAYO ROSA,12EMA4/206
21596,CCOA 006,Metodos Numericos,OO1,V,0800-0959,GARCIA - TAMAYO ROSA,12EMA8/301
21612,CCOA 007,Programacion Orientada a Objet,OO3,L,1000-1059,RUIZ - DIAZ MARIA ANTONIA,12EMA5/101
21612,CCOA 007,Programacion Orientada a Objet,OO3,M,1000-1159,RUIZ - DIAZ MARIA ANTONIA,12EMA5/101
21612,CCOA 007,Programacion Orientada a Objet,OO3,V,1000-1159,RUIZ - DIAZ MARIA ANTONIA,12EMA8/101
21632,CCOA 007,Programacion Orientada a Objet,OO1,L,1200-1259,GARCIA - LOPEZ MARGARITA CARMINA,12EMA4/206
21632,CCOA 007,Programacion Orientada a Objet,OO1,M,1200-1359,GARCIA - LOPEZ MARGARITA CARMINA,12EMA4/206
21632,CCOA 007,Programacion Orientada a Objet,OO1,V,1200-1359,GARCIA - LOPEZ MARGARITA CARMINA,12EMA8/301
21684,CCOA 008,Logica Dig. y Sist. Digitales,OO1,L,0800-0859,CAMACHO - TELLEZ HUGO,12EM10/214
21684,CCOA 008,Logica Dig. y Sist. Digitales,OO1,M,0800-0959,CAMACHO - TELLEZ HUGO,12EMA4/207
21684,CCOA 008,Logica Dig. y Sist. Digitales,OO1,V,0800-0959,CAMACHO - TELLEZ HUGO,12EMA8/302
25077,CCOA 250,Investigacion de Operaciones,OO1,L,0900-0959,CASTILLO - AVILA ARLEM ALEIDA,12EMA8/101
25077,CCOA 250,Investigacion de Operaciones,OO1,A,0800-0959,CASTILLO - AVILA ARLEM ALEIDA,12EMA8/101
25077,CCOA 250,Investigacion de Operaciones,OO1,J,0800-0959,CASTILLO - AVILA ARLEM ALEIDA,12EMA8/101
25607,CCOA 250,Investigacion de Operaciones,OO3,L,1500-1559,TECUANHUEHUE - VERA PEDRO,12EMA5/106
25607,CCOA 250,Investigacion de Operaciones,OO3,A,1400-1559,TECUANHUEHUE - VERA PEDRO,12EMA5/106
25607,CCOA 250,Investigacion de Operaciones,OO3,J,1400-1559,TECUANHUEHUE - VERA PEDRO,12EM11/104
43282,CCOA 250,Investigacion de Operaciones,OO7,L,1200-1259,GONZALEZ - VELAZQUEZ ROGELIO,12EM10/214
43282,CCOA 250,Investigacion de Operaciones,OO7,M,1200-1359,GONZALEZ - VELAZQUEZ ROGELIO,12EMA4/207
43282,CCOA 250,Investigacion de Operaciones,OO7,V,1200-1359,GONZALEZ - VELAZQUEZ ROGELIO,12EMA8/302
21772,CCOA 251,Analisis de Complejidad,OO1,L,1200-1259,TECUANHUEHUE - VERA PEDRO,12EM11/102
21772,CCOA 251,Analisis de Complejidad,OO1,M,1200-1359,TECUANHUEHUE - VERA PEDRO,12EM11/102
21772,CCOA 251,Analisis de Complejidad,OO1,V,1200-1359,TECUANHUEHUE - VERA PEDRO,12EMA3/201
25268,CCOA 251,Analisis de Complejidad,OO2,L,0800-0859,TECUANHUEHUE - VERA PEDRO,12EM11/101
25268,CCOA 251,Analisis de Complejidad,OO2,M,0800-0959,TECUANHUEHUE - VERA PEDRO,12EM11/101
25268,CCOA 251,Analisis de Complejidad,OO2,V,0800-0959,TECUANHUEHUE - VERA PEDRO,12EMA5/107
25286,CCOA 251,Analisis de Complejidad,OO3,L,1600-1659,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA8/302
25286,CCOA 251,Analisis de Complejidad,OO3,M,1600-1759,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA8/302
25286,CCOA 251,Analisis de Complejidad,OO3,V,1600-1759,CORTES - VAZQUEZ EDMUNDO MIGUEL,12EMA4/207
22324,FCCA 006,Algebra Lineal con Aplic.,O1O,L,1000-1059,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA5/106
22324,FCCA 006,Algebra Lineal con Aplic.,O1O,M,1000-1159,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA5/106
22324,FCCA 006,Algebra Lineal con Aplic.,O1O,V,1000-1159,RAMIREZ - HERNANDEZ HECTOR DAVID,12EMA8/306
22427,FCCA 006,Algebra Lineal con Aplic.,OO9,L,1000-1059,OTERO - GONZALEZ JORGE,12EMA8/302
22427,FCCA 006,Algebra Lineal con Aplic.,OO9,M,1000-1159,OTERO - GONZALEZ JORGE,12EMA8/302
22427,FCCA 006,Algebra Lineal con Aplic.,OO9,V,1000-1159,OTERO - GONZALEZ JORGE,12EMA4/207
22951,FCCA 006,Algebra Lineal con Aplic.,OO3,L,1200-1259,OTERO - GONZALEZ JORGE,12EMA4/306
22951,FCCA 006,Algebra Lineal con Aplic.,OO3,M,1200-1359,OTERO - GONZALEZ JORGE,12EMA4/306
22951,FCCA 006,Algebra Lineal con Aplic.,OO3,V,1200-1359,OTERO - GONZALEZ JORGE,12EMA8/202
23007,FCCA 006,Algebra Lineal con Aplic.,OO4,L,1100-1159,CARBALLIDO - CARRANZA JOSE LUIS,12EMA8/203
23007,FCCA 006,Algebra Lineal con Aplic.,OO4,A,1000-1159,CARBALLIDO - CARRANZA JOSE LUIS,12EMA8/203
23007,FCCA 006,Algebra Lineal con Aplic.,OO4,J,1000-1159,CARBALLIDO - CARRANZA JOSE LUIS,12EMA3/203
23049,FCCA 006,Algebra Lineal con Aplic.,OO5,L,1700-1759,HERNANDEZ - RAMIREZ ANABEL,12EMA8/203
23049,FCCA 006,Algebra Lineal con Aplic.,OO5,A,1600-1759,HERNANDEZ - RAMIREZ ANABEL,12EMA8/203
23049,FCCA 006,Algebra Lineal con Aplic.,OO5,J,1600-1759,HERNANDEZ - RAMIREZ ANABEL,12EMA3/203
23101,FCCA 006,Algebra Lineal con Aplic.,OO6,L,1100-1159,GARCIA - LOPEZ MARGARITA CARMINA,12EMA4/206
23101,FCCA 006,Algebra Lineal con Aplic.,OO6,A,1000-1159,GARCIA - LOPEZ MARGARITA CARMINA,12EMA4/206
23101,FCCA 006,Algebra Lineal con Aplic.,OO6,J,1000-1159,GARCIA - LOPEZ MARGARITA CARMINA,12EMA8/301
23528,FCCA 006,Algebra Lineal con Aplic.,O12,L,1200-1259,REYES - GARCES LUZ DEL CARMEN,12EMA4/208
23528,FCCA 006,Algebra Lineal con Aplic.,O12,M,1200-1359,REYES - GARCES LUZ DEL CARMEN,12EMA4/208
23528,FCCA 006,Algebra Lineal con Aplic.,O12,V,1200-1359,REYES - GARCES LUZ DEL CARMEN,12EMA5/107
23177,FCCA 008,Estructuras de Datos y sus Apl,O13,L,1200-1259,RUIZ - DIAZ MARIA ANTONIA,12EMA3/201
23177,FCCA 008,Estructuras de Datos y sus Apl,O13,M,1200-1359,RUIZ - DIAZ MARIA ANTONIA,12EMA3/201
23177,FCCA 008,Estructuras de Datos y sus Apl,O13,V,1200-1359,RUIZ - DIAZ MARIA ANTONIA,12EMA3/201
23413,FCCA 008,Estructuras de Datos y sus Apl,OO1,L,0900-0959,TORRES - ACUITLAPA OMAR,12EMA3/203
23413,FCCA 008,Estructuras de Datos y sus Apl,OO1,A,0800-0959,TORRES - ACUITLAPA OMAR,12EMA3/203
23413,FCCA 008,Estructuras de Datos y sus Apl,OO1,J,0800-0959,TORRES - ACUITLAPA OMAR,12EMA8/203
23440,FCCA 008,Estructuras de Datos y sus Apl,OO2,L,1000-1059,GALICIA - HERNANDEZ YALU,12EMA8/206
23440,FCCA 008,Estructuras de Datos y sus Apl,OO2,M,1000-1159,GALICIA - HERNANDEZ YALU,12EMA8/206
23440,FCCA 008,Estructuras de Datos y sus Apl,OO2,V,1000-1159,GALICIA - HERNANDEZ YALU,12EMA8/205
23464,FCCA 008,Estructuras de Datos y sus Apl,OO3,L,1400-1459,GARCIA - ALONSO MARCELA,12EMA8/205
23464,FCCA 008,Estructuras de Datos y sus Apl,OO3,M,1400-1559,GARCIA - ALONSO MARCELA,12EMA8/205
23464,FCCA 008,Estructuras de Datos y sus Apl,OO3,V,1400-1559,GARCIA - ALONSO MARCELA,12EMA8/206
23479,FCCA 008,Estructuras de Datos y sus Apl,OO5,L,1500-1559,GARCIA - ALONSO MARCELA,12EMA8/301
23479,FCCA 008,Estructuras de Datos y sus Apl,OO5,A,1400-1559,GARCIA - ALONSO MARCELA,12EMA8/301
23479,FCCA 008,Estructuras de Datos y sus Apl,OO5,J,1400-1559,GARCIA - ALONSO MARCELA,12EMA4/206
23496,FCCA 008,Estructuras de Datos y sus Apl,OO6,L,1200-1259,GALICIA - HERNANDEZ YALU,12EMA8/302
23496,FCCA 008,Estructuras de Datos y sus Apl,OO6,M,1200-1359,GALICIA - HERNANDEZ YALU,12EMA8/302
23496,FCCA 008,Estructuras de Datos y sus Apl,OO6,V,1200-1359,GALICIA - HERNANDEZ YALU,12EMA4/207
